#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2025-04-10T06:17:11 [V7.4.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2025-04-10T06:17:11	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-out.all=2&-out.add=_Glon,_Glat&-out.add=_RAJ,_DEJ&-sort=_r&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=J/MNRAS/402/2403/at20gcat&-order=I&-out=AT20G&-out=RAJ2000&-out=DEJ2000&DEJ2000=&gt;-30 & &lt;0&-out=S20&-out=e_S20&-out=S8&-out=e_S8&-out=S5&-out=e_S5&-out=Ep&-out.all=2&-out=Q&-out=Flags&-out=l_P20&-out=P20&-out=e_P20&-out=l_m20&-out=m20&-out=PA20&-out=l_P8&-out=P8&-out=e_P8&-out=l_m8&-out=m8&-out=PA8&-out=l_P5&-out=P5&-out=e_P5&-out=l_m5&-out=m5&-out=PA5&-out=Sp&Sp=Sp&-out.all=2&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.4.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_74022403
#Name: J/MNRAS/402/2403
#Title: Australia Telescope 20GHz Survey Catalog, AT20G (Murphy+, 2010)
#INFO	ivoid=ivo://cds.vizier/j/mnras/402/2403	    IVOID of underlying data collection
#INFO	creator=Murphy T.	    First author or institution
#INFO	cites=bibcode:2010MNRAS.402.2403M	    Article or Data origin sources
#INFO	original_date=2010	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/MNRAS/402/2403	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.74022403	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-07-10	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	G:	galactic
#Table	J_MNRAS_402_2403_at20gcat:
#Name: J/MNRAS/402/2403/at20gcat
#Title: The AT20G catalogue, version 1.0 (2009-10-15)
#Column	_Glon	(F11.7)	Galactic longitude (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.galactic.lon]
#Column	_Glat	(F11.7)	Galactic latitude (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.galactic.lat]
#Column	_RAJ2000	(F11.7)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F11.7)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
#Column	AT20G	(A14)	IAU designation (JHHMMSS+DDMMSS)	[ucd=meta.id;meta.main]
#Column	RAJ2000	(A11)	Right Ascension J2000 (1)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A11)	Declination J2000 (2)	[ucd=pos.eq.dec;meta.main]
#Column	S20	(I5)	? Peak brightness at 20GHz (in mJy/beam) (3)	[ucd=phot.flux.density;em.radio.12-30GHz]
#Column	e_S20	(I3)	? Uncertainty on S20	[ucd=stat.error]
#Column	S8	(I4)	? Peak brightness at 8GHz (in mJy/beam) (3)	[ucd=phot.flux.density;em.radio.6-12GHz]
#Column	e_S8	(I3)	? Uncertainty on S8	[ucd=stat.error]
#Column	S5	(I5)	? Peak brightness at 5GHz (in mJy/beam) (3)	[ucd=phot.flux.density;em.radio.3-6GHz]
#Column	e_S5	(I3)	? Uncertainty on S5	[ucd=stat.error]
#Column	Ep	(A3)	[1-8.] Epochs of observation at 20, 8, 5GHz (4)	[ucd=meta.id]
#Column	Q	(A1)	[gp] Quality flag (g=good or p=poor)	[ucd=meta.code.qual]
#Column	Flags	(A3)	Other flags (5)	[ucd=meta.code.error]
#Column	l_P20	(A1)	Limit flag on P20	[ucd=meta.code.error]
#Column	P20	(I4)	? Polarized flux density (or limit) at 20GHz	[ucd=phot.flux.density;em.radio.12-30GHz]
#Column	e_P20	(I2)	? Uncertainty on P20	[ucd=stat.error]
#Column	l_m20	(A1)	Limit flag on m20	[ucd=meta.code.error]
#Column	m20	(F4.1)	? Fractional polarisation at 20GHz	[ucd=phys.polarization]
#Column	PA20	(I3)	[-90/90]? Position angle at 20GHz	[ucd=pos.posAng]
#Column	l_P8	(A1)	Limit flag on P8	[ucd=meta.code.error]
#Column	P8	(I3)	? Polarized flux density (or limit) at 8GHz	[ucd=phot.flux.density;em.radio.6-12GHz]
#Column	e_P8	(I2)	? Uncertainty on P8	[ucd=stat.error]
#Column	l_m8	(A1)	Limit flag on m8	[ucd=meta.code.error]
#Column	m8	(F5.1)	? Fractional polarisation at 8GHz	[ucd=phys.polarization]
#Column	PA8	(I3)	[-90/90]? Position angle at 8GHz	[ucd=pos.posAng]
#Column	l_P5	(A1)	Limit flag on P5	[ucd=meta.code.error]
#Column	P5	(I4)	? Polarized flux density (or limit) at 5GHz	[ucd=phot.flux.density;em.radio.3-6GHz]
#Column	e_P5	(I1)	? Uncertainty on P5	[ucd=stat.error]
#Column	l_m5	(A1)	Limit flag on m5	[ucd=meta.code.error]
#Column	m5	(F5.1)	? Fractional polarisation at 5GHz	[ucd=phys.polarization]
#Column	PA5	(I3)	[-90/90]? Position angle at 5GHz	[ucd=pos.posAng]
#Column	Sp	(A2)	SPECFIND of radio surveys with this source (Vollmer et al., Cat. VIII/85)	[ucd=meta.ref.url]
_Glon	_Glat	_RAJ2000	_DEJ2000	AT20G	RAJ2000	DEJ2000	S20	e_S20	S8	e_S8	S5	e_S5	Ep	Q	Flags	l_P20	P20	e_P20	l_m20	m20	PA20	l_P8	P8	e_P8	l_m8	m8	PA8	l_P5	P5	e_P5	l_m5	m5	PA5	Sp
195.3935786	-77.3317787	025.9615000	-22.7100278	J014350-224236	01 43 50.76	-22 42 36.1	   80	  5	  96	  5	  109	  6	444	g	   	<	   6	  	<	 7.5	   	<	  6	  	<	  6.2	   	<	   6	 	<	  5.5	   	Sp
157.7845805	-66.5421433	026.1189167	 -7.3289722	J014428-071944	01 44 28.54	-07 19 44.3	   48	  3	    	   	     	   	6..	g	   	<	   7	  	<	14.5	   	 	   	  	 	     	   	 	    	 	 	     	   	Sp
218.0858897	-78.0911051	026.2641250	-27.5593889	J014503-273333	01 45 03.39	-27 33 33.8	  567	 37	 788	 41	 1000	 50	444	g	   	 	  11	 2	 	 1.9	  4	 	 11	 2	 	  1.4	 35	<	  10	 	<	  1.0	   	Sp
188.1929734	-76.0175854	026.4215833	-20.6391389	J014541-203820	01 45 41.18	-20 38 20.9	   82	  5	 102	  5	  145	  7	444	g	   	<	   6	  	<	 7.3	   	<	  7	  	<	  7.3	   	<	   7	 	<	  4.5	   	Sp
217.6568887	-77.7311217	026.6675417	-27.4612222	J014640-272740	01 46 40.21	-27 27 40.4	   68	  5	  96	  5	  114	  6	444	p	   	<	   6	  	<	 8.8	   	<	  7	  	<	  7.5	   	<	   7	 	<	  5.8	   	Sp
156.8842086	-64.7929831	026.6878750	 -5.6326667	J014645-053757	01 46 45.09	-05 37 57.6	  153	  7	    	   	     	   	6..	g	   	 	  14	 2	 	 9.0	 86	 	   	  	 	     	   	 	    	 	 	     	   	Sp
174.0963195	-72.7759013	026.7206667	-15.6806667	J014652-154050	01 46 52.96	-15 40 50.4	  102	  7	 160	  8	  172	 11	444	p	   	<	   6	  	<	 5.9	   	<	  9	  	<	  5.4	   	<	   6	 	<	  3.5	   	Sp
156.1880429	-63.9621259	026.8377917	 -4.7616667	J014721-044542	01 47 21.07	-04 45 42.0	  158	  8	    	   	     	   	6..	g	   	<	   6	  	<	 3.8	   	 	   	  	 	     	   	 	    	 	 	     	   	Sp
160.9934662	-67.0760408	026.9097917	 -8.4548611	J014738-082717	01 47 38.35	-08 27 17.5	  258	 13	    	   	     	   	6..	g	   	 	  11	 2	 	 4.1	-24	 	   	  	 	     	   	 	    	 	 	     	   	Sp
197.0748238	-76.2367780	027.2172083	-22.6460000	J014852-223845	01 48 52.13	-22 38 45.6	   87	  6	  89	  5	   66	  5	444	g	   	<	   6	  	<	 6.9	   	<	  8	  	<	  8.8	   	<	   7	 	<	 11.4	   	Sp
211.2411413	-77.0863231	027.2522500	-26.0134722	J014900-260048	01 49 00.54	-26 00 48.5	   60	  4	 137	  7	  248	 13	444	g	   	<	   6	  	<	10.4	   	<	  6	  	<	  4.4	   	<	   6	 	<	  2.4	   	Sp
158.8457341	-64.4329739	027.5990000	 -5.7541667	J015023-054515	01 50 23.76	-05 45 15.0	   94	  5	    	   	     	   	6..	g	   	<	   7	  	<	 7.3	   	 	   	  	 	     	   	 	    	 	 	     	   	Sp
174.3592776	-71.6710564	027.6034167	-14.9719167	J015024-145818	01 50 24.82	-14 58 18.9	   98	  5	    	   	     	   	6..	g	   	<	   6	  	<	 6.1	   	 	   	  	 	     	   	 	    	 	 	     	   	Sp
226.9380857	-76.7766860	027.6407500	-29.5488889	J015033-293256	01 50 33.78	-29 32 56.0	   51	  3	  79	  7	  234	 17	444	p	e  	 	  10	 2	 	18.9	-42	<	  6	  	<	  7.6	   	 	  20	2	 	  8.4	 84	Sp
163.4963709	-67.0927676	027.7099167	 -9.0245278	J015050-090128	01 50 50.38	-09 01 28.3	   87	  4	    	   	     	   	6..	g	e  	<	   6	  	<	 7.6	   	 	   	  	 	     	   	 	    	 	 	     	   	Sp
181.1913217	-73.2265555	027.7754167	-17.5456944	J015106-173244	01 51 06.10	-17 32 44.5	  258	 17	 253	 13	  309	 16	444	g	   	<	   6	  	<	 2.3	   	<	  6	  	<	  2.4	   	<	   6	 	<	  1.9	   	Sp
164.2881724	-67.3086750	027.8313750	 -9.3800278	J015119-092248	01 51 19.53	-09 22 48.1	  107	  5	    	   	     	   	6..	g	   	<	   6	  	<	 5.6	   	 	   	  	 	     	   	 	    	 	 	     	   	Sp
180.9579798	-72.9639011	027.9501667	-17.3316944	J015148-171954	01 51 48.04	-17 19 54.1	   60	  4	 135	  7	  230	 12	444	g	   	<	   6	  	<	10.1	   	<	  6	  	<	  4.4	   	<	   6	 	<	  2.6	   	Sp
227.3491467	-76.4460877	028.0046667	-29.6840278	J015201-294102	01 52 01.12	-29 41 02.5	   47	  3	 203	 11	  294	 22	444	g	   	<	   6	  	<	12.9	   	<	  6	  	<	  3.1	   	<	   7	 	<	  2.3	   	Sp
214.1541716	-76.4465363	028.0500833	-26.5984167	J015212-263554	01 52 12.02	-26 35 54.3	   54	  4	 124	  7	  247	 12	444	g	   	<	   6	  	<	11.2	   	<	  6	  	<	  4.8	   	<	   6	 	<	  2.4	   	Sp
173.7781113	-70.7726766	028.1332500	-14.2108889	J015231-141239	01 52 31.98	-14 12 39.2	  586	 29	    	   	     	   	6..	g	   	 	  19	 1	 	 3.3	 86	 	   	  	 	     	   	 	    	 	 	     	   	Sp
227.4107882	-76.3258139	028.1399583	-29.7134444	J015233-294248	01 52 33.59	-29 42 48.4	  171	 11	 261	 14	  343	 17	444	g	   	<	   6	  	<	 3.5	   	<	  6	  	<	  2.3	   	<	   6	 	<	  1.8	   	Sp
217.3824459	-76.3236931	028.2492083	-27.3473611	J015259-272050	01 52 59.81	-27 20 50.5	   52	  3	  32	  3	   32	  2	444	g	   	<	   6	  	<	11.7	   	<	  6	  	<	 18.6	   	<	   6	 	<	 18.6	   	Sp
186.6426281	-73.7514910	028.2563750	-19.1157500	J015301-190656	01 53 01.53	-19 06 56.7	   54	  4	 118	  6	  179	  9	444	g	   	<	   6	  	<	11.0	   	<	  6	  	<	  5.1	   	<	   6	 	<	  3.3	   	Sp
179.6400743	-72.1562303	028.3550000	-16.5203611	J015325-163113	01 53 25.20	-16 31 13.3	   57	  4	  71	  4	   92	  5	444	g	   	<	   6	  	<	10.6	   	<	  6	  	<	  8.5	   	<	   6	 	<	  6.5	   	Sp
178.8429407	-71.9361913	028.3691250	-16.1908056	J015328-161126	01 53 28.59	-16 11 26.9	   78	  5	  57	  4	   61	  4	444	g	   	<	   7	  	<	 8.4	   	<	  6	  	<	 10.6	   	<	   6	 	<	  9.8	   	Sp
157.1512529	-61.1998811	028.5949583	 -2.5818333	J015422-023454	01 54 22.79	-02 34 54.6	  118	  5	    	   	     	   	6..	g	   	<	   6	  	<	 5.1	   	 	   	  	 	     	   	 	    	 	 	     	   	Sp
173.8499781	-70.1298734	028.6220833	-13.7763889	J015429-134635	01 54 29.30	-13 46 35.0	   83	  4	    	   	     	   	6..	g	   	<	   6	  	<	 7.6	   	 	   	  	 	     	   	 	    	 	 	     	   	Sp
202.1938369	-75.2466405	028.6918750	-23.4983333	J015446-232954	01 54 46.05	-23 29 54.0	   52	  4	 124	  7	  220	 11	444	g	   	<	   6	  	<	11.5	   	<	  6	  	<	  5.1	   	<	   6	 	<	  2.7	   	Sp
164.7090599	-65.9592477	028.7831667	 -8.3979167	J015507-082352	01 55 07.96	-08 23 52.5	   56	  3	    	   	     	   	6..	g	   	<	   6	  	<	11.2	   	 	   	  	 	     	   	 	    	 	 	     	   	Sp
160.6879126	-63.0900376	029.0125000	 -5.0569444	J015603-050325	01 56 03.00	-05 03 25.0	   54	  3	    	   	     	   	6..	g	   	<	   6	  	<	11.0	   	 	   	  	 	     	   	 	    	 	 	     	   	Sp
159.9019250	-62.4485990	029.0580000	 -4.3229722	J015613-041922	01 56 13.92	-04 19 22.7	  129	  7	    	   	     	   	6..	g	   	<	   7	  	<	 5.8	   	 	   	  	 	     	   	 	    	 	 	     	   	Sp
205.3083370	-75.0660715	029.1237917	-24.2145833	J015629-241252	01 56 29.71	-24 12 52.5	   75	  5	    	   	     	   	4..	g	   	<	   6	  	<	 8.0	   	 	   	  	 	     	   	 	    	 	 	     	   	Sp
164.5303923	-64.9121925	029.3549167	 -7.5140556	J015725-073050	01 57 25.18	-07 30 50.6	   55	  3	    	   	     	   	6..	g	   	<	   7	  	<	13.2	   	 	   	  	 	     	   	 	    	 	 	     	   	Sp
169.6527675	-67.3725284	029.4231250	-10.7277778	J015741-104340	01 57 41.55	-10 43 40.0	  286	 14	    	   	     	   	6..	g	   	 	  12	 2	 	 4.3	-25	 	   	  	 	     	   	 	    	 	 	     	   	Sp
186.6736788	-72.4387214	029.4301250	-18.4169167	J015743-182500	01 57 43.23	-18 25 00.9	   52	  4	 117	  6	  194	 11	444	g	   	<	   7	  	<	13.8	   	<	  8	  	<	  6.7	   	<	   6	 	<	  3.1	   	Sp
176.8415766	-69.6858206	029.6820000	-14.2183611	J015843-141306	01 58 43.68	-14 13 06.1	  283	 13	    	   	     	   	6..	g	   	<	   6	  	<	 2.1	   	 	   	  	 	     	   	 	    	 	 	     	   	Sp
218.9427364	-74.8466504	029.9304167	-27.6772778	J015943-274038	01 59 43.30	-27 40 38.2	   79	  5	  73	  5	  102	  7	444	g	   	<	   7	  	<	 9.1	   	<	  6	  	<	  8.2	   	<	   6	 	<	  5.9	   	Sp
167.5873345	-65.5877535	029.9552917	 -8.8333611	J015949-085000	01 59 49.27	-08 50 00.1	  142	  7	    	   	     	   	6..	g	   	<	   6	  	<	 4.2	   	 	   	  	 	     	   	 	    	 	 	     	   	Sp
181.1389605	-70.2559308	030.2135000	-15.7104722	J020051-154237	02 00 51.24	-15 42 37.7	  107	  7	 210	 11	  168	  9	444	g	   	<	   9	  	<	 8.7	   	<	 16	  	<	  7.7	   	<	   6	 	<	  3.6	   	Sp
177.2840272	-69.0938296	030.2431667	-13.9383056	J020058-135617	02 00 58.36	-13 56 17.9	   84	  4	    	   	     	   	6..	g	   	<	   9	  	<	10.4	   	 	   	  	 	     	   	 	    	 	 	     	   	Sp
173.0777179	-67.2616183	030.4883750	-11.5425556	J020157-113233	02 01 57.21	-11 32 33.2	  730	 34	    	   	     	   	6..	g	   	 	  33	 2	 	 4.5	 46	 	   	  	 	     	   	 	    	 	 	     	   	Sp
164.5872705	-62.9884138	030.5284583	 -5.9832222	J020206-055859	02 02 06.83	-05 58 59.6	   94	  4	    	   	     	   	6..	g	   	<	   8	  	<	 8.9	   	 	   	  	 	     	   	 	    	 	 	     	   	Sp
192.3948788	-72.2154228	030.5580833	-19.8055556	J020213-194820	02 02 13.94	-19 48 20.0	   95	  6	 204	 11	  227	 11	444	g	   	<	   6	  	<	 6.6	   	<	 13	  	<	  6.3	   	<	   6	 	<	  2.6	   	Sp
158.2076679	-58.2343222	030.5595000	 -0.2968333	J020214-001748	02 02 14.28	-00 17 48.6	   94	  4	    	   	     	   	6..	g	   	<	   9	  	<	 9.2	   	 	   	  	 	     	   	 	    	 	 	     	   	Sp
166.7129486	-63.8480818	030.7628333	 -7.2438889	J020303-071438	02 03 03.08	-07 14 38.0	   91	  4	    	   	     	   	6..	g	   	<	   6	  	<	 6.6	   	 	   	  	 	     	   	 	    	 	 	     	   	Sp
165.6545297	-62.9702117	030.9291667	 -6.2601389	J020343-061536	02 03 43.00	-06 15 36.5	  102	  5	    	   	     	   	6..	g	   	<	   7	  	<	 7.4	   	 	   	  	 	     	   	 	    	 	 	     	   	Sp
213.2940449	-73.7905291	030.9642083	-26.0673611	J020351-260402	02 03 51.41	-26 04 02.5	   67	  5	  88	  5	   66	  3	444	g	   	<	   9	  	<	13.9	   	<	  6	  	<	  6.8	   	<	   6	 	<	  9.1	   	Sp
185.9935857	-70.2314274	031.2406667	-17.0222222	J020457-170120	02 04 57.76	-17 01 20.0	 1785	116	    	   	     	   	4..	g	   	 	  41	 2	 	 2.3	-76	 	   	  	 	     	   	 	    	 	 	     	   	Sp
173.7984225	-66.4420677	031.2801250	-11.1561389	J020507-110922	02 05 07.23	-11 09 22.1	  112	  5	    	   	     	   	6..	g	   	<	   8	  	<	 6.9	   	 	   	  	 	     	   	 	    	 	 	     	   	Sp
200.8778285	-72.3074503	031.5839167	-22.2056111	J020620-221220	02 06 20.14	-22 12 20.2	  124	  8	    	   	     	   	4..	g	   	 	   9	 2	 	 7.2	 68	 	   	  	 	     	   	 	    	 	 	     	   	Sp
175.6006485	-66.6946651	031.6087083	-11.8443889	J020626-115039	02 06 26.09	-11 50 39.8	  274	 14	    	   	     	   	6..	g	   	<	   6	  	<	 2.3	   	 	   	  	 	     	   	 	    	 	 	     	   	Sp
219.5628502	-73.2189000	031.7750833	-27.7903056	J020706-274725	02 07 06.02	-27 47 25.1	   62	  4	  51	  4	   57	  3	444	g	   	<	   6	  	<	 9.6	   	<	  7	  	<	 13.0	   	<	   6	 	<	 10.5	   	Sp
216.3692201	-72.8743210	032.0932917	-26.8386111	J020822-265019	02 08 22.39	-26 50 19.0	  170	 11	 334	 18	  316	 16	444	g	   	 	   7	 2	 	 4.4	 70	<	  6	  	<	  1.8	   	<	   6	 	<	  1.9	   	Sp
161.1878379	-57.8307371	032.1097083	 -0.7958056	J020826-004744	02 08 26.33	-00 47 44.9	  296	 15	    	   	     	   	6..	g	   	 	  21	 2	 	 7.2	-89	 	   	  	 	     	   	 	    	 	 	     	   	Sp
188.9322432	-69.8481743	032.1458750	-17.6596667	J020835-173934	02 08 35.01	-17 39 34.8	  236	 15	    	   	     	   	4..	g	   	<	   6	  	<	 2.5	   	 	   	  	 	     	   	 	    	 	 	     	   	Sp
165.9923032	-60.8073432	032.3781667	 -4.6406389	J020930-043826	02 09 30.76	-04 38 26.3	  247	 12	    	   	     	   	6..	g	   	<	   7	  	<	 2.7	   	 	   	  	 	     	   	 	    	 	 	     	   	Sp
170.0061840	-63.1066272	032.3809583	 -7.6140278	J020931-073650	02 09 31.43	-07 36 50.5	  101	  5	    	   	     	   	6..	g	   	<	   6	  	<	 5.9	   	 	   	  	 	     	   	 	    	 	 	     	   	Sp
226.7814898	-72.5953725	032.4374583	-29.9226944	J020944-295521	02 09 44.99	-29 55 21.7	   51	  3	  77	  4	   57	  3	444	g	   	<	   6	  	<	11.8	   	<	  6	  	<	  7.8	   	<	   6	 	<	 10.5	   	Sp
175.5724370	-65.4333591	032.5293750	-10.9631667	J021007-105747	02 10 07.05	-10 57 47.4	   74	  4	    	   	     	   	6..	g	   	 	   9	 3	 	12.0	 88	 	   	  	 	     	   	 	    	 	 	     	   	Sp
201.9018665	-71.4791236	032.5421250	-22.2271389	J021010-221337	02 10 10.11	-22 13 37.7	   77	  5	    	   	     	   	4..	g	   	<	   7	  	<	 8.9	   	 	   	  	 	     	   	 	    	 	 	     	   	Sp
166.8422950	-61.0579809	032.5504583	 -5.0921667	J021012-050531	02 10 12.11	-05 05 31.8	  118	  6	    	   	     	   	6..	g	   	<	   7	  	<	 6.1	   	 	   	  	 	     	   	 	    	 	 	     	   	Sp
170.3272988	-62.9901608	032.5688333	 -7.6223889	J021016-073720	02 10 16.52	-07 37 20.6	   84	  5	    	   	     	   	6..	g	   	<	   8	  	<	 9.6	   	 	   	  	 	     	   	 	    	 	 	     	   	Sp
182.9431389	-67.8483895	032.5967500	-14.7496111	J021023-144458	02 10 23.22	-14 44 58.6	  118	  6	    	   	     	   	6..	g	   	 	   8	 2	 	 6.6	  8	 	   	  	 	     	   	 	    	 	 	     	   	Sp
163.3453307	-58.2107940	032.8387917	 -1.7542500	J021121-014515	02 11 21.31	-01 45 15.3	   83	  4	    	   	     	   	6..	g	   	<	   7	  	<	 8.0	   	 	   	  	 	     	   	 	    	 	 	     	   	Sp
208.2089522	-71.6904699	032.9339167	-24.1971667	J021144-241149	02 11 44.14	-24 11 49.8	   60	  4	  34	  3	   34	  2	444	g	   	<	   6	  	<	10.5	   	<	  8	  	<	 23.7	   	<	   6	 	<	 17.6	   	Sp
186.1438504	-68.2793636	032.9576250	-15.9718611	J021149-155818	02 11 49.83	-15 58 18.7	  231	 15	    	   	     	   	4..	g	   	<	   6	  	<	 2.6	   	 	   	  	 	     	   	 	    	 	 	     	   	Sp
190.5264946	-69.1290141	033.0946250	-17.7708056	J021222-174614	02 12 22.71	-17 46 14.9	  310	 20	    	   	     	   	4..	g	   	<	   6	  	<	 1.9	   	 	   	  	 	     	   	 	    	 	 	     	   	Sp
213.8869954	-71.8560306	033.1230833	-25.9719167	J021229-255818	02 12 29.54	-25 58 18.9	   61	  4	  89	  5	   56	  3	444	g	   	<	   7	  	<	11.3	   	<	  7	  	<	  8.4	   	<	   6	 	<	 10.7	   	Sp
172.3345114	-63.1419704	033.1456667	 -8.3457778	J021234-082044	02 12 34.96	-08 20 44.8	   46	  2	    	   	     	   	7..	g	   	<	   6	  	<	13.0	   	 	   	  	 	     	   	 	    	 	 	     	   	Sp
218.1836009	-71.9038966	033.2302917	-27.3053333	J021255-271819	02 12 55.27	-27 18 19.2	   52	  4	  50	  4	   60	  3	444	g	   	<	   6	  	<	11.5	   	<	  6	  	<	 12.0	   	<	   6	 	<	 10.0	   	Sp
162.4375946	-56.7833319	033.2547500	 -0.3042500	J021301-001815	02 13 01.14	-00 18 15.3	  118	  6	    	   	     	   	6..	g	   	<	   7	  	<	 5.8	   	 	   	  	 	     	   	 	    	 	 	     	   	Sp
225.9656209	-71.8459981	033.3184167	-29.7240278	J021316-294326	02 13 16.42	-29 43 26.5	   84	  6	 167	  9	  175	  9	444	g	   	<	   6	  	<	 7.2	   	<	 11	  	<	  6.6	   	<	   6	 	<	  3.4	   	Sp
171.1075164	-62.2737908	033.3193750	 -7.3256944	J021316-071932	02 13 16.65	-07 19 32.5	  148	  8	    	   	     	   	6..	g	   	<	   8	  	<	 5.7	   	 	   	  	 	     	   	 	    	 	 	     	   	Sp
200.1513393	-70.1480102	033.6699167	-21.2247222	J021440-211329	02 14 40.78	-21 13 29.0	   70	  5	 114	  6	   89	  5	444	g	   	<	   7	  	<	 9.4	   	<	  9	  	<	  8.2	   	<	   6	 	<	  6.7	   	Sp
171.4187899	-61.7511702	033.7816250	 -7.0356389	J021507-070208	02 15 07.59	-07 02 08.3	   51	  3	    	   	     	   	6..	g	   	<	   6	  	<	12.5	   	 	   	  	 	     	   	 	    	 	 	     	   	Sp
167.0899616	-59.2092602	033.7979583	 -3.7188611	J021511-034307	02 15 11.51	-03 43 07.9	   92	  5	    	   	     	   	6..	g	   	<	   6	  	<	 6.5	   	 	   	  	 	     	   	 	    	 	 	     	   	Sp
181.3983016	-65.7715179	033.8961667	-12.9913611	J021535-125928	02 15 35.08	-12 59 28.9	  314	  8	    	   	     	   	6..	g	e  	 	  27	 3	 	17.3	 74	 	   	  	 	     	   	 	    	 	 	     	   	Sp
165.7081311	-58.0755346	033.9252083	 -2.3824167	J021542-022256	02 15 42.05	-02 22 56.7	  646	 32	    	   	     	   	6..	g	   	<	   7	  	<	 1.0	   	 	   	  	 	     	   	 	    	 	 	     	   	Sp
164.6460778	-57.1504151	034.0234167	 -1.3008611	J021605-011803	02 16 05.62	-01 18 03.1	  102	  5	    	   	     	   	6..	g	   	<	   6	  	<	 5.9	   	 	   	  	 	     	   	 	    	 	 	     	   	Sp
164.4560309	-56.9629356	034.0509167	 -1.0885556	J021612-010518	02 16 12.22	-01 05 18.8	   82	  4	    	   	     	   	6..	g	   	<	   6	  	<	 7.7	   	 	   	  	 	     	   	 	    	 	 	     	   	Sp
176.9939227	-63.8008848	034.1619583	-10.2840556	J021638-101702	02 16 38.87	-10 17 02.6	  300	 15	    	   	     	   	6..	g	   	<	   6	  	<	 2.0	   	 	   	  	 	     	   	 	    	 	 	     	   	Sp
189.0108667	-67.5257237	034.2284583	-16.4634167	J021654-162748	02 16 54.83	-16 27 48.3	   52	  4	 101	  5	   91	  5	444	g	   	<	  11	  	<	20.8	   	<	 11	  	<	 10.7	   	<	   6	 	<	  6.6	   	Sp
174.0788960	-62.3797413	034.2612500	 -8.3477778	J021702-082052	02 17 02.70	-08 20 52.0	  415	 21	    	   	     	   	6..	g	   	 	  20	 2	 	 4.9	-13	 	   	  	 	     	   	 	    	 	 	     	   	Sp
218.2877087	-70.9406651	034.3138333	-27.2654722	J021715-271555	02 17 15.32	-27 15 55.7	  126	  8	    	   	     	   	4..	g	   	<	   6	  	<	 4.8	   	 	   	  	 	     	   	 	    	 	 	     	   	Sp
165.3875084	-56.9291779	034.4792500	 -1.3640000	J021755-012150	02 17 55.02	-01 21 50.4	   82	  4	    	   	     	   	6..	g	   	<	   6	  	<	 7.3	   	 	   	  	 	     	   	 	    	 	 	     	   	Sp
189.4778694	-67.3432078	034.4887083	-16.5195833	J021757-163110	02 17 57.29	-16 31 10.5	  215	 13	    	   	     	   	4..	g	e  	<	   6	  	<	 3.0	   	 	   	  	 	     	   	 	    	 	 	     	   	Sp
176.2746771	-62.8452461	034.6433750	 -9.3938333	J021834-092337	02 18 34.41	-09 23 37.8	  158	  8	    	   	     	   	6..	g	   	<	   7	  	<	 4.6	   	 	   	  	 	     	   	 	    	 	 	     	   	Sp
206.2732127	-69.8801279	034.6677917	-23.1200278	J021840-230712	02 18 40.27	-23 07 12.1	   55	  4	  36	  3	   39	  3	444	g	   	<	   6	  	<	10.9	   	<	  7	  	<	 20.9	   	<	   6	 	<	 15.3	   	Sp
194.9586247	-68.1195390	034.8383750	-18.7107500	J021921-184238	02 19 21.21	-18 42 38.7	  490	 32	 601	 31	  410	 21	444	g	   	<	   6	  	<	 1.2	   	<	  6	  	<	  1.0	   	<	   6	 	<	  1.5	   	Sp
